,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
3715,2018-04-10,2022-02-21,44.0,49.00488973799942,11.374749404544136,5.26953125
3716,2018-04-10,2022-01-24,43.0,49.162605440123315,14.331640558426313,6.6884765625
3717,2018-04-10,2021-12-20,42.0,49.6383870401271,18.186635809826427,8.615234375
3718,2018-04-10,2021-11-22,41.0,50.31140566218331,22.710745517520273,10.8046875
3719,2018-04-10,2021-10-25,40.0,48.27425320974967,20.685633024374184,10.09765625
3720,2018-04-10,2021-09-20,39.0,46.076018840625515,18.143638052885937,9.2001953125
3721,2018-04-10,2021-08-23,38.0,45.69416834478109,20.247811433634446,10.4091796875
3722,2018-04-10,2021-07-26,37.0,43.626157141557954,17.908532815021495,9.466796875
3723,2018-04-10,2021-06-21,36.0,41.84646156286935,16.24017100797042,8.91015625
3724,2018-04-10,2021-05-25,35.0,39.989470697466096,14.255630564188845,8.025390625
3725,2018-04-10,2021-04-26,34.0,38.39246530871057,12.919015613854617,7.474609375
3726,2018-04-10,2021-03-22,33.0,36.45751541399583,10.477319436350996,6.3173828125
3727,2018-04-10,2021-02-22,32.0,34.92209445512211,9.131545172256583,5.654296875
3728,2018-04-10,2021-01-25,31.0,33.523061917791296,8.138909412229985,5.171875
3729,2018-04-10,2020-12-21,30.0,31.511939273926572,5.03979757975524,3.3505859375
3730,2018-04-10,2020-11-23,29.0,30.209113460294972,4.169356759637835,2.845703125
3731,2018-04-10,2020-10-26,28.0,27.638950245617075,-1.289463408510448,-0.916015625
3732,2018-04-10,2020-09-21,27.0,26.779379597914193,-0.8171126003178025,-0.6025390625
3733,2018-04-10,2020-08-24,26.0,25.970023922382488,-0.11529260622119991,-0.0869140625
3734,2018-04-10,2020-07-27,25.0,24.54392879140345,-1.824284834386205,-1.4208984375
3735,2018-04-10,2020-06-29,24.0,23.269533382348058,-3.043610906883091,-2.4423828125
3736,2018-04-10,2020-04-20,22.0,20.388628378314333,-7.324416462207575,-6.474609375
3737,2018-04-10,2020-03-23,21.0,17.60831414193657,-16.15088503839728,-14.91796875
3738,2018-04-10,2020-02-24,20.0,21.23778538722954,6.188926936147698,5.701171875
3739,2018-04-10,2020-01-20,19.0,20.202413835122982,6.3284938690683274,6.1484375
3740,2018-04-10,2019-12-23,18.0,18.925011459413454,5.138952552296969,5.181640625
3741,2018-04-10,2019-11-25,17.0,17.694899538969125,4.087644346877205,4.27734375
3742,2018-04-10,2019-10-21,16.0,16.453050326405354,2.83156454003346,3.1484375
3743,2018-04-10,2019-09-23,15.0,15.561506170063142,3.7433744670876123,4.33203125
3744,2018-04-10,2019-08-26,14.0,14.183964976796036,1.3140355485431117,1.5859375
3745,2018-04-10,2019-07-22,13.0,13.327161887082394,2.516629900633797,3.255859375
3746,2018-04-10,2019-06-24,12.0,12.15562624795396,1.2968853996163283,1.755859375
3747,2018-04-10,2019-05-20,11.0,10.994996162332447,-0.04548943334139466,-0.06640625
3748,2018-04-10,2019-04-23,10.0,10.170755288210175,1.707552882101755,2.625
3749,2018-04-10,2019-03-25,9.0,8.922664324970976,-0.859285278100271,-1.39453125
3750,2018-04-10,2019-02-25,8.0,7.805946254741842,-2.4256718157269708,-4.15234375
3751,2018-04-10,2019-01-21,7.0,6.628526790516457,-5.30676013547919,-9.87890625
3752,2018-04-10,2018-12-24,6.0,5.500231194462307,-8.329480092294883,-16.265625
3753,2018-04-10,2018-11-26,5.0,4.7037234012018,-5.925531975964002,-12.56640625
3754,2018-04-10,2018-10-22,4.0,3.8086842612330036,-4.782893469174909,-11.4921875
3755,2018-04-10,2018-09-24,3.0,2.9181503934886033,-2.7283202170465573,-7.2109375
3756,2018-04-10,2018-08-20,2.0,1.9650059145274574,-1.7497042736271284,-5.44921875
3757,2018-04-10,2018-07-23,1.0,0.9880737831481106,-1.1926216851889437,-4.125
3758,2018-04-10,2018-06-25,,,,
3759,2018-04-10,2018-05-22,,,,
3760,2018-04-10,2018-04-23,,,,
3770,2018-03-12,2022-12-27,55.0,56.197809944712176,2.177836263113048,0.849609375
3771,2018-03-12,2022-11-21,54.0,55.40314937210098,2.5984247631499566,1.03466796875
3772,2018-03-12,2022-10-24,53.0,52.100449635714924,-1.697264838273729,-0.6982421875
