,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
2129,2020-05-11,2021-08-20,13.0,14.637966690718747,12.59974377475959,16.35546875
2130,2020-05-11,2021-07-20,12.0,13.335895716856232,11.132464307135265,15.3671875
2131,2020-05-11,2021-06-21,11.0,12.197240684551398,10.884006223194524,15.90234375
2132,2020-05-11,2021-05-20,10.0,10.841682120679122,8.416821206791223,13.193359375
2133,2020-05-11,2021-04-20,9.0,9.951625819225017,10.573620213611296,17.84765625
2134,2020-05-11,2021-03-22,8.0,8.77585873588318,9.698234198539746,17.50390625
2135,2020-05-11,2021-02-22,7.0,7.603366347901165,8.61951925573093,16.61328125
2136,2020-05-11,2021-01-20,6.0,6.469719683698163,7.82866139496939,16.671875
2137,2020-05-11,2020-12-21,5.0,5.2202484929657755,4.404969859315511,10.09375
2138,2020-05-11,2020-11-20,4.0,4.185937157425949,4.6484289356487185,11.86328125
2139,2020-05-11,2020-10-20,3.0,3.074530949291117,2.4843649763705677,7.015625
2140,2020-05-11,2020-09-21,2.0,2.0029356274082843,0.14678137041421735,0.453125
2141,2020-05-11,2020-08-20,1.0,1.0314725069897484,3.147250698974835,11.8515625
2142,2020-05-11,2020-07-20,,,,
2143,2020-05-11,2020-06-22,,,,
2144,2020-05-11,2020-05-20,,,,
2178,2020-04-14,2023-01-20,31.0,30.178432544282902,-2.650217599087412,-1.748046875
2179,2020-04-14,2022-12-20,30.0,28.422018181699926,-5.259939394333581,-3.595703125
2180,2020-04-14,2022-11-21,29.0,28.448145732423992,-1.9029457502620968,-1.322265625
2181,2020-04-14,2022-10-20,28.0,26.581336290373354,-5.066656105809449,-3.6640625
2182,2020-04-14,2022-09-20,27.0,26.540268443863233,-1.7027094671732093,-1.2568359375
2183,2020-04-14,2022-08-22,26.0,27.06835898242908,4.10907300934261,3.0771484375
2184,2020-04-14,2022-07-20,25.0,24.9161073229046,-0.33557070838159575,-0.263671875
2185,2020-04-14,2022-06-20,24.0,22.755388580648066,-5.18588091396639,-4.25
2186,2020-04-14,2022-05-20,23.0,22.764512126527453,-1.0238603194458553,-0.861328125
2187,2020-04-14,2022-04-20,22.0,23.554383642970834,7.06538019532197,6.07421875
2188,2020-04-14,2022-03-21,21.0,22.472484152370317,7.011829297001508,6.255859375
2189,2020-04-14,2022-02-21,20.0,21.19118684391541,5.955934219577053,5.501953125
2190,2020-04-14,2022-01-20,19.0,20.984964517219275,10.447181669575132,10.046875
2191,2020-04-14,2021-12-20,18.0,20.374628769364683,13.19238205202602,13.244140625
2192,2020-04-14,2021-11-22,17.0,19.96126144334652,17.419184960861877,18.134765625
2193,2020-04-14,2021-10-20,16.0,18.230166691688005,13.938541823050032,15.392578125
2194,2020-04-14,2021-09-20,15.0,16.841878077384347,12.279187182562316,14.255859375
2195,2020-04-14,2021-08-20,14.0,15.948577479168694,13.918410565490673,17.091796875
2196,2020-04-14,2021-07-20,13.0,14.619281558727911,12.456011990214702,16.224609375
2197,2020-04-14,2021-06-21,12.0,13.465731863116956,12.214432192641297,16.796875
2198,2020-04-14,2021-05-20,11.0,12.07149500764422,9.740863705856546,14.330078125
2199,2020-04-14,2021-04-20,10.0,11.194234032473606,11.942340324736058,18.828125
2200,2020-04-14,2021-03-22,9.0,9.997872187200915,11.087468746676837,18.62890625
