,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
6604,2016-08-10,2018-02-20,16.0,15.521954125451076,-2.9877867159307736,-3.306640625
6605,2016-08-10,2018-01-22,15.0,14.887195646652254,-0.7520290223183087,-0.8671875
6606,2016-08-10,2017-12-20,14.0,13.787446890823361,-1.5182364941188504,-1.85546875
6607,2016-08-10,2017-11-20,13.0,12.739461090951695,-2.0041454542177344,-2.57421875
6608,2016-08-10,2017-10-20,12.0,11.711338453795612,-2.405512885036565,-3.265625
6609,2016-08-10,2017-09-20,11.0,10.643845906810002,-3.2377644835454364,-4.64453125
6610,2016-08-10,2017-08-21,10.0,9.649751156381203,-3.502488436187967,-5.322265625
6611,2016-08-10,2017-07-20,9.0,8.743483163116183,-2.850187076486854,-4.66015625
6612,2016-08-10,2017-06-20,8.0,7.85504175618443,-1.811978047694629,-3.181640625
6613,2016-08-10,2017-05-22,7.0,6.807251413355343,-2.7535512377808176,-5.16015625
6614,2016-08-10,2017-04-20,6.0,5.8544283616842625,-2.4261939719289582,-4.9765625
6615,2016-08-10,2017-03-20,5.0,4.8754129499929135,-2.4917410001417295,-5.59765625
6616,2016-08-10,2017-02-20,4.0,3.922291622030767,-1.9427094492308283,-4.7421875
6617,2016-08-10,2017-01-20,3.0,2.9146250409397028,-2.8458319686765745,-7.6953125
6618,2016-08-10,2016-12-20,2.0,1.9648755627195715,-1.7562218640214233,-5.4453125
6619,2016-08-10,2016-11-21,1.0,0.9646642703751765,-3.5335729624823453,-11.96875
6620,2016-08-10,2016-10-20,,,,
6621,2016-08-10,2016-09-20,,,,
6622,2016-08-10,2016-08-22,,,,
6630,2016-07-11,2023-01-20,76.0,69.84192078818661,-8.102735805017616,-2.4814453125
6631,2016-07-11,2022-12-20,75.0,67.5153274946983,-9.97956334040227,-3.12646484375
6632,2016-07-11,2022-11-21,74.0,67.81956727332523,-8.351936117128064,-2.62255859375
6633,2016-07-11,2022-10-20,73.0,64.7216206258255,-11.340245718047267,-3.6689453125
6634,2016-07-11,2022-09-20,72.0,66.1713642568252,-8.095327421076112,-2.60546875
6635,2016-07-11,2022-08-22,71.0,68.12963716933072,-4.042764550238421,-1.2890625
6636,2016-07-11,2022-07-20,70.0,66.16513820917872,-5.478373986887541,-1.78662109375
6637,2016-07-11,2022-06-20,69.0,63.002845547029025,-8.691528192711557,-2.9189453125
6638,2016-07-11,2022-05-20,68.0,65.47812952371386,-3.7086330533619694,-1.2314453125
6639,2016-07-11,2022-04-20,67.0,67.06297589007625,0.09399386578544086,0.03125
6640,2016-07-11,2022-03-21,66.0,67.425994788107,2.160598163798492,0.71630859375
6641,2016-07-11,2022-02-21,65.0,66.84562095097758,2.839416847657809,0.94970703125
6642,2016-07-11,2022-01-20,64.0,68.0985513720641,6.403986518850147,2.14111328125
6643,2016-07-11,2021-12-20,63.0,68.60894849292644,8.903092845914992,2.9892578125
6644,2016-07-11,2021-11-22,62.0,68.1795143214359,9.966958582961134,3.37353515625
6645,2016-07-11,2021-10-20,61.0,65.99698614923132,8.191780572510359,2.84326171875
6646,2016-07-11,2021-09-20,60.0,65.05758995949552,8.429316599159193,2.966796875
6647,2016-07-11,2021-08-20,59.0,64.70514079402595,9.669730159366019,3.44091796875
6648,2016-07-11,2021-07-20,58.0,63.057882077990925,8.720486341363664,3.1669921875
6649,2016-07-11,2021-06-21,57.0,61.30714602604633,7.55639653692339,2.798828125
6650,2016-07-11,2021-05-20,56.0,59.38730794652853,6.048764190229518,2.29541015625
6651,2016-07-11,2021-04-20,55.0,59.09841159415357,7.451657443915577,2.85693359375
6652,2016-07-11,2021-03-22,54.0,57.91732253920776,7.254300998532888,2.826171875
6653,2016-07-11,2021-02-22,53.0,56.63586700495136,6.860126424436524,2.7158203125
6654,2016-07-11,2021-01-20,52.0,55.63780486945652,6.9957785951086855,2.8251953125
6655,2016-07-11,2020-12-21,51.0,53.93297812186337,5.750937493849747,2.37451171875
6656,2016-07-11,2020-11-20,50.0,52.96373318724198,5.927466374483957,2.4921875
6657,2016-07-11,2020-10-20,49.0,51.405573176369515,4.90933301299901,2.1123046875
6658,2016-07-11,2020-09-21,48.0,49.5718791430041,3.274748214591868,1.4423828125
6659,2016-07-11,2020-08-20,47.0,48.70315729951193,3.623738935131764,1.626953125
6660,2016-07-11,2020-07-20,46.0,47.51045485801327,3.2835975174201493,1.5068359375
6661,2016-07-11,2020-06-22,45.0,45.808908517169016,1.7975744825978128,0.84326171875
6662,2016-07-11,2020-05-20,44.0,43.98863979434796,-0.02581864920918003,-0.0126953125
6663,2016-07-11,2020-04-20,43.0,42.195300570237016,-1.8713940227046133,-0.9296875
6664,2016-07-11,2020-03-20,42.0,39.404085533784,-6.1807487290857175,-3.1904296875
6665,2016-07-11,2020-02-20,41.0,43.21693957288155,5.407169689955,2.7236328125
6666,2016-07-11,2020-01-20,40.0,41.395221606044075,3.488054015110187,1.8095703125
6667,2016-07-11,2019-12-20,39.0,40.160437937902024,2.975481892056473,1.5830078125
6668,2016-07-11,2019-11-20,38.0,38.93626067927717,2.4638438928346544,1.3427734375
6669,2016-07-11,2019-10-21,37.0,37.68929029641556,1.8629467470690722,1.041015625
6670,2016-07-11,2019-09-20,36.0,37.14787179218213,3.188532756061472,1.8173828125
6671,2016-07-11,2019-08-20,35.0,36.21209773598268,3.4631363885219457,2.0234375
6672,2016-07-11,2019-07-22,34.0,34.80082950251923,2.355380889762436,1.4130859375
6673,2016-07-11,2019-06-20,33.0,33.44065245119369,1.3353104581627038,0.8271484375
6674,2016-07-11,2019-05-20,32.0,31.684311684275013,-0.9865259866405851,-0.6328125
6675,2016-07-11,2019-04-23,31.0,30.859043262643393,-0.4546991527632483,-0.296875
