,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
3712,2018-06-11,2020-10-20,26.0,26.562547836501604,2.1636455250061704,1.630859375
3713,2018-06-11,2020-09-21,25.0,25.21192915213498,0.8477166085399261,0.66015625
3714,2018-06-11,2020-08-20,24.0,24.295613300702357,1.2317220862598195,0.994140625
3715,2018-06-11,2020-07-20,23.0,23.25050244715424,1.0891410745836516,0.9111328125
3716,2018-06-11,2020-06-22,22.0,21.824592851743184,-0.7973052193491658,-0.689453125
3717,2018-06-11,2020-05-20,21.0,20.1652273763862,-3.975107731494293,-3.60546875
3718,2018-06-11,2020-04-20,20.0,18.817855387672868,-5.910723061635661,-5.57421875
3719,2018-06-11,2020-03-20,19.0,17.27934427984612,-9.056082737651993,-8.919921875
3720,2018-06-11,2020-02-20,18.0,18.98795279150132,5.488626619451785,5.52734375
3721,2018-06-11,2020-01-20,17.0,17.636595044532115,3.7446767325418513,3.953125
3722,2018-06-11,2019-12-20,16.0,16.513530750703783,3.2095671918986435,3.5546875
3723,2018-06-11,2019-11-20,15.0,15.434164179298422,2.8944278619894823,3.359375
3724,2018-06-11,2019-10-21,14.0,14.318008494313503,2.2714892450964492,2.76953125
3725,2018-06-11,2019-09-20,13.0,13.399261564924581,3.0712428071121614,3.95703125
3726,2018-06-11,2019-08-20,12.0,12.236876591987636,1.9739715998969694,2.693359375
3727,2018-06-11,2019-07-22,11.0,11.239702394000284,2.179112672729857,3.140625
3728,2018-06-11,2019-06-20,10.0,10.145463223700844,1.4546322370084397,2.24609375
3729,2018-06-11,2019-05-20,9.0,8.94109263319863,-0.6545262977929924,-1.078125
3730,2018-06-11,2019-04-23,8.0,8.041624679159693,0.5203084894961574,0.90625
3731,2018-06-11,2019-03-20,7.0,6.909093455016113,-1.2986649283412406,-2.46875
3732,2018-06-11,2019-02-20,6.0,5.8329970497422545,-2.783382504295758,-5.625
3733,2018-06-11,2019-01-21,5.0,4.758538141632375,-4.8292371673525025,-10.4609375
3734,2018-06-11,2018-12-20,4.0,3.7020347402316136,-7.449131494209659,-17.51953125
3735,2018-06-11,2018-11-20,3.0,2.7873327273109867,-7.088909089633777,-18.375
3736,2018-06-11,2018-10-22,2.0,1.8816008002945903,-5.919959985270484,-17.140625
3737,2018-06-11,2018-09-20,1.0,0.972003140730504,-2.799685926949602,-9.75
3738,2018-06-11,2018-08-20,,,,
3739,2018-06-11,2018-07-20,,,,
3740,2018-06-11,2018-06-20,,,,
3752,2018-05-14,2023-01-20,54.0,50.78577790412235,-5.95226314051417,-2.45703125
3753,2018-05-14,2022-12-20,53.0,48.21952364837169,-9.019766701185489,-3.8427734375
3754,2018-05-14,2022-11-21,52.0,48.27295923910678,-7.167386078640803,-3.07421875
3755,2018-05-14,2022-10-20,51.0,44.88427104963538,-11.991625392871804,-5.359375
3756,2018-05-14,2022-09-20,50.0,44.95981001260103,-10.080379974797935,-4.541015625
3757,2018-05-14,2022-08-22,49.0,46.48930115078146,-5.123875202486821,-2.2939453125
3758,2018-05-14,2022-07-20,48.0,44.89078265556412,-6.477536134241423,-2.98046875
3759,2018-05-14,2022-06-20,47.0,42.330359185949774,-9.935405987340905,-4.724609375
3760,2018-05-14,2022-05-20,46.0,43.549799766217106,-5.326522247354117,-2.5322265625
3761,2018-05-14,2022-04-20,45.0,44.55471372347893,-0.989525058935704,-0.470703125
3762,2018-05-14,2022-03-21,44.0,44.32888763425415,0.7474718960321621,0.3603515625
3763,2018-05-14,2022-02-21,43.0,43.572205768467455,1.3307110894591985,0.6513671875
3764,2018-05-14,2022-01-20,42.0,44.965346422869786,7.060348625880442,3.4609375
3765,2018-05-14,2021-12-20,41.0,44.46216238887176,8.44429850944332,4.212890625
3766,2018-05-14,2021-11-22,40.0,44.36521341245211,10.913033531130267,5.5009765625
3767,2018-05-14,2021-10-20,39.0,42.39544719744956,8.70627486525529,4.5400390625
3768,2018-05-14,2021-09-20,38.0,41.15259898335494,8.296313114091953,4.4306640625
3769,2018-05-14,2021-08-20,37.0,40.70935183778244,10.025275237249843,5.45703125
3770,2018-05-14,2021-07-20,36.0,38.76879635875544,7.6911009965428825,4.326171875
3771,2018-05-14,2021-06-21,35.0,37.37415566300568,6.783301894301944,3.9140625
3772,2018-05-14,2021-05-20,34.0,35.79207123478317,5.270797749362272,3.142578125
3773,2018-05-14,2021-04-20,33.0,35.01793626857166,6.11495838961109,3.7294921875
3774,2018-05-14,2021-03-22,32.0,33.70718990449675,5.334968451552347,3.3408203125
3775,2018-05-14,2021-02-22,31.0,32.515421896648625,4.888457731124598,3.13671875
3776,2018-05-14,2021-01-20,30.0,31.73351329453823,5.778377648460768,3.8212890625
3777,2018-05-14,2020-12-21,29.0,30.21114298788334,4.176355130632201,2.8525390625
3778,2018-05-14,2020-11-20,28.0,29.141080662592714,4.075288080688263,2.87109375
3779,2018-05-14,2020-10-20,27.0,27.592499759322443,2.194443553046086,1.603515625
3780,2018-05-14,2020-09-21,26.0,26.227360490591103,0.8744634253503956,0.6591796875
3781,2018-05-14,2020-08-20,25.0,25.314184056510094,1.256736226040374,0.98046875
3782,2018-05-14,2020-07-20,24.0,24.26826333498007,1.11776389575029,0.904296875
3783,2018-05-14,2020-06-22,23.0,22.824736302053456,-0.7620160780284534,-0.63671875
3784,2018-05-14,2020-05-20,22.0,21.1337720743772,-3.9373996619218103,-3.4453125
3785,2018-05-14,2020-04-20,21.0,19.763874643148117,-5.886311223104203,-5.349609375
3786,2018-05-14,2020-03-20,20.0,18.191219993276086,-9.043900033619572,-8.580078125
3787,2018-05-14,2020-02-20,19.0,20.04297211715174,5.489326932377587,5.30078125
3788,2018-05-14,2020-01-20,18.0,18.671154849631144,3.7286380535063537,3.767578125
3789,2018-05-14,2019-12-20,17.0,17.540210847883714,3.1777108699041974,3.36328125
3790,2018-05-14,2019-11-20,16.0,16.45451582454687,2.840723903417941,3.14453125
3791,2018-05-14,2019-10-21,15.0,15.329732851735098,2.1982190115673226,2.548828125
3792,2018-05-14,2019-09-20,14.0,14.415700420156162,2.9692887154011545,3.62890625
3793,2018-05-14,2019-08-20,13.0,13.240309172459746,1.8485320958441993,2.38671875
3794,2018-05-14,2019-07-22,12.0,12.243422426348502,2.0285202195708507,2.7578125
3795,2018-05-14,2019-06-20,11.0,11.139287284399831,1.2662480399984652,1.8359375
3796,2018-05-14,2019-05-20,10.0,9.912816975401514,-0.8718302459848637,-1.34375
3797,2018-05-14,2019-04-23,9.0,9.025124296789556,0.27915885321729345,0.453125
3798,2018-05-14,2019-03-20,8.0,7.877107945766307,-1.5361506779211664,-2.7109375
3799,2018-05-14,2019-02-20,7.0,6.791015924326963,-2.985486795329097,-5.578125
3800,2018-05-14,2019-01-21,6.0,5.699981171441181,-5.000313809313643,-9.9765625
3801,2018-05-14,2018-12-20,5.0,4.622312495674523,-7.553750086509545,-16.296875
3802,2018-05-14,2018-11-20,4.0,3.712163047973474,-7.1959238006631505,-16.98046875
3803,2018-05-14,2018-10-22,3.0,2.8171287183874827,-6.09570938708391,-15.90234375
3804,2018-05-14,2018-09-20,2.0,1.9370426070779159,-3.1478696461042066,-9.65625
3805,2018-05-14,2018-08-20,1.0,0.9663365263036412,-3.3663473696358803,-11.9765625
3806,2018-05-14,2018-07-20,,,,
3807,2018-05-14,2018-06-20,,,,
3808,2018-05-14,2018-05-22,,,,
3819,2018-04-10,2023-01-20,55.0,51.7832295681681,-5.84867351242163,-2.3740234375
3820,2018-04-10,2022-12-20,54.0,49.186330152234405,-8.91420342178814,-3.7333984375
3821,2018-04-10,2022-11-21,53.0,49.2601811024347,-7.056262070877924,-2.9736328125
3822,2018-04-10,2022-10-20,52.0,45.82012315734086,-11.884378543575272,-5.21875
3823,2018-04-10,2022-09-20,51.0,45.916778359153334,-9.96710125656209,-4.41015625
3824,2018-04-10,2022-08-22,50.0,47.49998212125492,-5.000035757490167,-2.1982421875
3825,2018-04-10,2022-07-20,49.0,45.88769197048743,-6.35164903982157,-2.8681640625
3826,2018-04-10,2022-06-20,48.0,43.29014728179571,-9.8121931629256,-4.5791015625
3827,2018-04-10,2022-05-20,47.0,44.558520438657645,-5.1946373645582025,-2.421875
3828,2018-04-10,2022-04-20,46.0,45.6083381646672,-0.8514387724626036,-0.3974609375
3829,2018-04-10,2022-03-21,45.0,45.39875091797969,0.8861131510659782,0.41796875
3830,2018-04-10,2022-02-21,44.0,44.64549520365945,1.4670345537714786,0.703125
3831,2018-04-10,2022-01-20,43.0,46.09618862675159,7.200438666864165,3.4541015625
3832,2018-04-10,2021-12-20,42.0,45.60522881983526,8.583878142464908,4.1884765625
3833,2018-04-10,2021-11-22,41.0,45.53119868243449,11.051704103498762,5.4453125
3834,2018-04-10,2021-10-20,40.0,43.53493552263412,8.837338806585304,4.501953125
3835,2018-04-10,2021-09-20,39.0,42.28491998446409,8.422871755036127,4.392578125
3836,2018-04-10,2021-08-20,38.0,41.85703687241922,10.150097032682163,5.392578125
3837,2018-04-10,2021-07-20,37.0,39.88970180774637,7.810004885801001,4.28515625
3838,2018-04-10,2021-06-21,36.0,38.48303174936057,6.897310414890473,3.8798828125
3839,2018-04-10,2021-05-20,35.0,36.88305529392636,5.380157982646746,3.1259765625
3840,2018-04-10,2021-04-20,34.0,36.11511794937265,6.220935145213685,3.6953125
3841,2018-04-10,2021-03-22,33.0,34.79377690277832,5.4356875841767245,3.3134765625
3842,2018-04-10,2021-02-22,32.0,33.59510331850508,4.984697870328381,3.111328125
3843,2018-04-10,2021-01-20,31.0,32.820448193695746,5.872413528050795,3.7744140625
3844,2018-04-10,2020-12-21,30.0,31.279651085531384,4.265503618437947,2.830078125
3845,2018-04-10,2020-11-20,29.0,30.20717064313433,4.162657390118377,2.845703125
3846,2018-04-10,2020-10-20,28.0,28.637872136570508,2.2781147734660983,1.6142578125
3847,2018-04-10,2020-09-21,27.0,27.2579948810846,0.9555365966096263,0.6982421875
3848,2018-04-10,2020-08-20,26.0,26.348004867755193,1.338480260596898,1.01171875
3849,2018-04-10,2020-07-20,25.0,25.301262152888647,1.205048611554588,0.94140625
3850,2018-04-10,2020-06-22,24.0,23.83985391392843,-0.6672753586315435,-0.5380859375
3851,2018-04-10,2020-05-20,23.0,22.116817836976345,-3.8399224479289336,-3.244140625
3852,2018-04-10,2020-04-20,22.0,20.724057711994753,-5.799737672751122,-5.083984375
3853,2018-04-10,2020-03-20,21.0,19.116748322493912,-8.967865130981371,-8.201171875
3854,2018-04-10,2020-02-20,20.0,21.1137872067311,5.5689360336555005,5.1611328125
3855,2018-04-10,2020-01-20,19.0,19.721204098434573,3.795811044392488,3.67578125
3856,2018-04-10,2019-12-20,18.0,18.582262413672144,3.234791187067465,3.275390625
3857,2018-04-10,2019-11-20,17.0,17.490144188734007,2.883201110200041,3.046875
3858,2018-04-10,2019-10-21,16.0,16.356604760222773,2.228779751392329,2.462890625
3859,2018-04-10,2019-09-20,15.0,15.447357411980208,2.982382746534723,3.46484375
3860,2018-04-10,2019-08-20,14.0,14.258765159398816,1.848322567134402,2.26171875
3861,2018-04-10,2019-07-22,13.0,13.262170168897143,2.016693606901098,2.591796875
3862,2018-04-10,2019-06-20,12.0,12.147990892674901,1.2332574389575097,1.68359375
3863,2018-04-10,2019-05-20,11.0,10.899089987889633,-0.9173637464578797,-1.328125
3864,2018-04-10,2019-04-23,10.0,10.023348884291138,0.2334888429113846,0.35546875
3865,2018-04-10,2019-03-20,9.0,8.8596155628545,-1.559827079394438,-2.5625
3866,2018-04-10,2019-02-20,8.0,7.763378270746255,-2.9577716156718115,-5.1328125
3867,2018-04-10,2019-01-21,7.0,6.655519499307431,-4.921150009893844,-9.0859375
3868,2018-04-10,2018-12-20,6.0,5.5563686623944655,-7.393855626758909,-14.6953125
3869,2018-04-10,2018-11-20,5.0,4.650839940982401,-6.983201180351983,-15.06640625
3870,2018-04-10,2018-10-22,4.0,3.7666633734034334,-5.833415664914165,-13.7734375
3871,2018-04-10,2018-09-20,3.0,2.91653065765684,-2.7823114114386684,-7.5625
3872,2018-04-10,2018-08-20,2.0,1.947141056438391,-2.642947178080446,-8.15234375
3873,2018-04-10,2018-07-20,1.0,0.980268007800516,-1.973199219948396,-6.94921875
3874,2018-04-10,2018-06-20,,,,
3875,2018-04-10,2018-05-22,,,,
3876,2018-04-10,2018-04-20,,,,
3886,2018-03-14,2023-01-20,56.0,52.78147362027298,-5.7473685352268165,-2.294921875
3887,2018-03-14,2022-12-20,55.0,50.153904699258256,-8.81108236498499,-3.62890625
3888,2018-03-14,2022-11-21,54.0,50.248187227140285,-6.947801431221695,-2.87890625
3889,2018-03-14,2022-10-20,53.0,46.756718717648575,-11.779776004436652,-5.0849609375
3890,2018-03-14,2022-09-20,52.0,46.87450693331174,-9.856717435938956,-4.28515625
3891,2018-03-14,2022-08-22,51.0,48.511465989313734,-4.879478452326011,-2.1064453125
3892,2018-03-14,2022-07-20,50.0,46.88539324262094,-6.229213514758114,-2.76171875
3893,2018-03-14,2022-06-20,49.0,44.25069784529181,-9.69245337695549,-4.4404296875
3894,2018-03-14,2022-05-20,48.0,45.56804245139831,-5.066578226253515,-2.3173828125
3895,2018-03-14,2022-04-20,47.0,46.66279961827029,-0.7174476207015074,-0.328125
3896,2018-03-14,2022-03-21,46.0,46.46946411445937,1.0205741618681963,0.47265625
3897,2018-03-14,2022-02-21,45.0,45.7196372733831,1.599193940851333,0.7509765625
3898,2018-03-14,2022-01-20,44.0,47.227929185803276,7.336202695007446,3.4453125
3899,2018-03-14,2021-12-20,43.0,46.749203317047304,8.719077481505357,4.1630859375
3900,2018-03-14,2021-11-22,42.0,46.69811022567737,11.185976727803258,5.390625
3901,2018-03-14,2021-10-20,41.0,44.6753290715753,8.96421724774463,4.46484375
3902,2018-03-14,2021-09-20,40.0,43.418140515518104,8.54535128879526,4.35546875
3903,2018-03-14,2021-08-20,39.0,43.005633642380985,10.270855493284577,5.3291015625
3904,2018-03-14,2021-07-20,38.0,41.01149771802499,7.924993994802608,4.2451171875
3905,2018-03-14,2021-06-21,37.0,39.59278874072724,7.0075371371006385,3.8466796875
3906,2018-03-14,2021-05-20,36.0,37.97490604443146,5.485850123420713,3.1083984375
3907,2018-03-14,2021-04-20,35.0,37.2131712450036,6.323346414296002,3.66015625
3908,2018-03-14,2021-03-22,34.0,35.881227099341736,5.53302088041687,3.28515625
3909,2018-03-14,2021-02-22,33.0,34.675642452767235,5.0777044023249545,3.0859375
3910,2018-03-14,2021-01-20,32.0,33.90824656751192,5.96327052347474,3.728515625
3911,2018-03-14,2020-12-21,31.0,32.34900801935682,4.351638772118784,2.806640625
