,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
2202,2020-04-14,2020-12-21,6.0,6.255878268486287,4.264637808104776,8.93359375
2203,2020-04-14,2020-11-20,5.0,5.255348974763021,5.106979495260422,11.83984375
2204,2020-04-14,2020-10-20,4.0,4.131549659733736,3.2887414933433945,8.40625
2205,2020-04-14,2020-09-21,3.0,3.0363970307199297,1.2132343573309907,3.390625
2206,2020-04-14,2020-08-21,2.0,2.0989921320246183,4.949606601230916,16.48828125
2207,2020-04-14,2020-07-20,1.0,1.0572384995670754,5.7238499567075385,23.296875
2208,2020-04-14,2020-06-22,,,,
2209,2020-04-14,2020-05-20,,,,
2210,2020-04-14,2020-04-20,,,,
2244,2020-03-10,2022-12-20,31.0,28.768463578667987,-7.198504584941977,-4.818359375
2245,2020-03-10,2022-11-21,30.0,28.718013125688802,-4.273289581037326,-2.9052734375
2246,2020-03-10,2022-10-20,29.0,26.732661006824667,-7.81841032129425,-5.537109375
2247,2020-03-10,2022-09-20,28.0,26.631220700890566,-4.888497496819407,-3.53125
2248,2020-03-10,2022-08-22,27.0,27.080113594850385,0.29671701796438826,0.216796875
2249,2020-03-10,2022-07-20,26.0,25.321151395316615,-2.6109561718591716,-1.99609375
2250,2020-03-10,2022-06-20,25.0,23.13329207598551,-7.466831696057966,-5.955078125
2251,2020-03-10,2022-05-20,24.0,23.302289287049458,-2.907127970627258,-2.375
2252,2020-03-10,2022-04-20,23.0,23.88860379345568,3.8634947541551288,3.2197265625
2253,2020-03-10,2022-03-21,22.0,23.06632100455115,4.846913657050678,4.177734375
2254,2020-03-10,2022-02-21,21.0,21.912545650526063,4.345455478695538,3.869140625
2255,2020-03-10,2022-01-20,20.0,21.814633030475733,9.073165152378664,8.380859375
2256,2020-03-10,2021-12-20,19.0,21.07800262653716,10.936855929142945,10.52734375
2257,2020-03-10,2021-11-22,18.0,20.686507265776374,14.9250403654243,14.85546875
2258,2020-03-10,2021-10-20,17.0,18.947791318572293,11.457595991601721,12.06640625
2259,2020-03-10,2021-09-20,16.0,17.59936258745443,9.996016171590183,11.0390625
2260,2020-03-10,2021-08-20,15.0,16.791168013693905,11.941120091292703,13.890625
2261,2020-03-10,2021-07-20,14.0,15.523669464737445,10.883353319553178,13.384765625
2262,2020-03-10,2021-06-21,13.0,14.270954425557793,9.776572504290716,12.64453125
2263,2020-03-10,2021-05-20,12.0,12.877087278718866,7.309060655990552,10.0703125
2264,2020-03-10,2021-04-20,11.0,11.97218252744919,8.838022976810821,12.95703125
2265,2020-03-10,2021-03-22,10.0,10.778329325597307,7.783293255973066,12.08984375
2266,2020-03-10,2021-02-22,9.0,9.689965100640022,7.66627889600024,12.62890625
2267,2020-03-10,2021-01-20,8.0,8.655728689014833,8.196608612685408,14.765625
2268,2020-03-10,2020-12-21,7.0,7.3520003715263575,5.028576736090822,9.68359375
2269,2020-03-10,2020-11-20,6.0,6.354651759179182,5.910862652986371,12.4921875
