"Date","Price","Open","High","Low","Change %"
"Apr 26, 2022","24,884.520","24,884.520","24,884.520","24,884.520","-0.53%"
"Apr 25, 2022","25,016.961","25,016.961","25,016.961","25,016.961","-0.05%"
"Apr 22, 2022","25,030.391","25,030.391","25,030.391","25,030.391","-0.97%"
"Apr 21, 2022","25,276.340","25,276.340","25,276.340","25,276.340","-0.15%"
"Apr 20, 2022","25,315.391","25,315.391","25,315.391","25,315.391","0.46%"
"Apr 19, 2022","25,199.150","25,199.150","25,199.150","25,199.150","-0.20%"
"Apr 14, 2022","25,248.561","25,248.561","25,248.561","25,248.561","-0.03%"
"Apr 13, 2022","25,255.189","25,255.189","25,255.189","25,255.189","0.30%"
"Apr 12, 2022","25,180.539","25,180.539","25,180.539","25,180.539","0.06%"
"Apr 11, 2022","25,166.000","25,166.000","25,166.000","25,166.000","-0.78%"
"Apr 08, 2022","25,364.170","25,364.170","25,364.170","25,364.170","0.26%"
"Apr 07, 2022","25,298.650","25,298.650","25,298.650","25,298.650","-0.19%"
"Apr 06, 2022","25,347.900","25,347.900","25,347.900","25,347.900","-1.12%"
"Apr 05, 2022","25,633.779","25,633.779","25,633.779","25,633.779","-0.66%"
"Apr 04, 2022","25,805.330","25,805.330","25,805.330","25,805.330","0.53%"
"Apr 01, 2022","25,668.779","25,668.779","25,668.779","25,668.779","0.02%"
"Mar 31, 2022","25,662.939","25,662.939","25,662.939","25,662.939","-0.27%"
"Mar 30, 2022","25,733.490","25,733.490","25,733.490","25,733.490","-0.62%"
"Mar 29, 2022","25,895.061","25,895.061","25,895.061","25,895.061","0.94%"
"Mar 28, 2022","25,655.150","25,655.150","25,655.150","25,655.150","0.27%"
"Mar 25, 2022","25,585.711","25,585.711","25,585.711","25,585.711","-0.22%"
"Mar 24, 2022","25,641.580","25,641.580","25,641.580","25,641.580","-0.24%"
"Mar 23, 2022","25,702.100","25,702.100","25,702.100","25,702.100","-0.47%"
"Mar 22, 2022","25,824.350","25,824.350","25,824.350","25,824.350","0.46%"
"Mar 21, 2022","25,705.561","25,705.561","25,705.561","25,705.561","-0.48%"
"Mar 18, 2022","25,829.279","25,829.279","25,829.279","25,829.279","0.63%"
"Mar 17, 2022","25,667.221","25,667.221","25,667.221","25,667.221","0.21%"
"Mar 16, 2022","25,612.609","25,612.609","25,612.609","25,612.609","1.64%"
"Mar 15, 2022","25,198.160","25,198.160","25,198.160","25,198.160","0.16%"
"Mar 14, 2022","25,157.670","25,157.670","25,157.670","25,157.670","0.11%"
"Mar 11, 2022","25,130.699","25,130.699","25,130.699","25,130.699","0.34%"
"Mar 10, 2022","25,045.301","25,045.301","25,045.301","25,045.301","-1.12%"
"Mar 09, 2022","25,328.939","25,328.939","25,328.939","25,328.939","1.76%"
"Mar 08, 2022","24,890.199","24,890.199","24,890.199","24,890.199","-0.53%"
"Mar 07, 2022","25,024.061","25,024.061","25,024.061","25,024.061","-0.95%"
"Mar 04, 2022","25,263.551","25,263.551","25,263.551","25,263.551","-1.28%"
"Mar 03, 2022","25,592.260","25,592.260","25,592.260","25,592.260","-0.78%"
"Mar 02, 2022","25,794.029","25,794.029","25,794.029","25,794.029","0.13%"
"Mar 01, 2022","25,760.641","25,760.641","25,760.641","25,760.641","-0.38%"
"Feb 28, 2022","25,859.430","25,859.430","25,859.430","25,859.430","0.27%"
"Feb 25, 2022","25,789.539","25,789.539","25,789.539","25,789.539","1.17%"
"Feb 24, 2022","25,490.289","25,490.289","25,490.289","25,490.289","-0.47%"
"Feb 23, 2022","25,609.740","25,609.740","25,609.740","25,609.740","-0.43%"
"Feb 22, 2022","25,720.529","25,720.529","25,720.529","25,720.529","-0.26%"
"Feb 21, 2022","25,787.881","25,787.881","25,787.881","25,787.881","-0.74%"
"Feb 18, 2022","25,981.270","25,981.270","25,981.270","25,981.270","-0.44%"
"Feb 17, 2022","26,097.180","26,097.180","26,097.180","26,097.180","-0.32%"
"Feb 16, 2022","26,180.131","26,180.131","26,180.131","26,180.131","0.07%"
"Feb 15, 2022","26,161.830","26,161.830","26,161.830","26,161.830","0.85%"
"Feb 14, 2022","25,940.189","25,940.189","25,940.189","25,940.189","-0.71%"
"Feb 11, 2022","26,125.289","26,125.289","26,125.289","26,125.289","-0.66%"
"Feb 10, 2022","26,298.750","26,298.750","26,298.750","26,298.750","-0.60%"
"Feb 09, 2022","26,456.381","26,456.381","26,456.381","26,456.381","1.13%"
"Feb 08, 2022","26,161.699","26,161.699","26,161.699","26,161.699","-0.11%"
"Feb 07, 2022","26,190.980","26,190.980","26,190.980","26,190.980","-0.14%"
"Feb 04, 2022","26,226.990","26,226.990","26,226.990","26,226.990","-0.89%"
"Feb 03, 2022","26,463.359","26,463.359","26,463.359","26,463.359","-1.57%"
"Feb 02, 2022","26,886.699","26,886.699","26,886.699","26,886.699","0.09%"
"Feb 01, 2022","26,861.260","26,861.260","26,861.260","26,861.260","0.38%"
"Jan 31, 2022","26,760.551","26,760.551","26,760.551","26,760.551","0.49%"
"Jan 28, 2022","26,631.340","26,631.340","26,631.340","26,631.340","-0.22%"
"Jan 27, 2022","26,689.980","26,689.980","26,689.980","26,689.980","0.12%"
"Jan 26, 2022","26,658.480","26,658.480","26,658.480","26,658.480","0.53%"
"Jan 25, 2022","26,517.891","26,517.891","26,517.891","26,517.891","-0.16%"
"Jan 24, 2022","26,560.930","26,560.930","26,560.930","26,560.930","-1.47%"
"Jan 21, 2022","26,956.131","26,956.131","26,956.131","26,956.131","-0.79%"
